"monastery_id","name","from","to"
"1","Augustins","1108","1607"
"1","Feuillants","1607","1761"
"2","Cisterciens","1136","1791"
"2","Trappistes","1872","-"
"4","Cisterciennes","1220","1793"
"5","Trappistines","1825","2009"
"6","Cisterciennes","1237","1791"
"7","Cisterciens","1124","1586"
"8","Cisterciennes","1229","1763"
"9","Cisterciennes","?","?"
"10","Cisterciens","1142","1791"
"10","Sœurs melkites","1963","-"
"10","Théophanie","1963","1987"
"10","Verbe de Vie","1987","2010"
"11","Cisterciens","1149","1569"
"12","Cisterciens","1149","1791"
"14","Cisterciens","1162","1790"
"16","Cisterciens","1121","1801"
"17","Cisterciens","1125","1801"
"18","Cisterciennes","1140","1792"
"19","Cisterciens","1107","1793"
"20","Cisterciens","1147","1791"
"21","Cisterciens","1140","1776"
"22","Cisterciens","1137","?"
"24","Cisterciennes","1245","1790"
"25","Cisterciens","1128","1790"
"26","Chanoines réguliers","1153","1172"
"26","Cisterciens","1172","1790"
"27","Cisterciens","1166","?"
"28","Cisterciens","1144","1791"
"29","Cisterciens","1135","1790"
"30","Cisterciens","1135","1790"
"31","Cisterciennes","1221","1790"
"32","Cisterciennes","1234","1791"
"33","Cisterciens","1130","1790"
"34","Bénédictins","950","1136"
"34","Cisterciens","1137","1791"
"34","Bénédictins","2000","-"
"35","Cisterciennes","1245","1510"
"36","Cisterciens","1150","1793"
"37","Cisterciennes","1148","1792"
"38","Cisterciens","1120","1790"
"38","Trappistes","1816","-"
"39","Cisterciens","1143","1791"
"40","Cisterciens","1120","1791"
"40","Cisterciens","1817","1830"
"41","Cisterciennes","1120","?"
"42","Trappistines","1895","2011"
"43","Cisterciens","1138","1611"
"43","Cisterciennes[note 3]","1611","1791"
"44","Cisterciens","1184","1213"
"45","Cisterciens","1135","1791"
"46","Cisterciennes","1133","1791"
"47","Cisterciennes","1235","1764"
"48","Cisterciens","1148","1791"
"49","Cisterciens","1133","1791"
"50","Cisterciennes","1128","1790"
"51","Cisterciens","1172","1789"
"52","Cisterciennes","1105","1350"
"52","Cisterciennes","1649","?"
"54","Cisterciennes","1182","?"
"55","Cisterciens","1123","1790"
"56","Cisterciens","1141","1791"
"57","Cisterciennes","1205","1667"
"57","Cisterciennes","1667","?"
"58","Cisterciens","1138","1790"
"59","Cisterciens","1201","1791"
"60","Cisterciens","1131","1789"
"61","Cisterciens","1184","1790"
"62","Cisterciennes","1128","1790"
"63","Cisterciens","1141","1791"
"64","Cisterciens","1117","1791"
"65","Cisterciennes","1160","1648"
"66","Cisterciennes","1219","1791"
"67","Cisterciennes","1179","1791"
"67","Norbertines","1871","-"
"68","Cisterciennes","1199","?"
"69","Cisterciens","1143","1790"
"70","Cisterciens","1166","1790"
"70","Trappistes","1875","1965"
"71","Cisterciennes","1150","1667"
"71","Cisterciennes","1667","1790"
"72","Cisterciens","1137","1791"
"73","Cisterciens","1154","1791"
"74","Cisterciens","1147","1790"
"74","Trappistines","1875"," -"
"75","Cisterciens","1124","1791"
"76","Cisterciens","1124","1791"
"77","Cisterciens","1191","1791"
"78","Cisterciennes","1147","?"
"79","Cisterciens","1137","1791"
"79","Trappistes","1936","1973"
"79","Sœurs de Bethléem","1973","2011"
"79","Chemin Neuf","2011","-"
"80","Cisterciens","1163","1791"
"81","Cisterciennes","1198","1413"
"82","Cisterciens","1125","1791"
"83","Cisterciens","1141","1791"
"84","Cisterciennes","1140","1904"
"84","Cisterciennes","1949","-"
"85","Cisterciens","1150","1567"
"85","Cisterciens","1700","1790"
"86","Cisterciens","1119","1791"
"87","Cisterciens","1125","?"
"88","Cisterciennes","1662","1770"
"89","Cisterciennes","1196","1790"
"90","Cisterciens","1147","1791"
"91","Trappistes","1824","-"
"92","Cisterciens","1131","1791"
"93","Cisterciennes","?","1188"
"93","Cisterciennes","1188","1625"
"94","Cisterciens","1135","1791"
"95","Cisterciens","1115","?"
"96","Cisterciens","1148","1790"
"97","Trappistines","1953","-"
"98","Cisterciens","1152","1791"
"99","Cisterciens","1152","1791"
"100","Cisterciennes","1354","?"
"100","Cisterciennes","1896","1960"
"101","Cisterciennes","1865","-"
"102","Cisterciens","1150","116?"
"102","Augustins","1169","12??"
"102","Saccites","12??","1268"
"103","Feuillants","?","?"
"104","Cisterciens","1141","1791"
"105","Cisterciens","1191","1790"
"106","Cisterciens","1137","1790"
"107","Cisterciens","1138","1791"
"108","Cisterciens","1147","1791"
"109","Trappistes","1868","1903"
"109","Trappistines","1931","-"
"110","Cisterciens","1152","1791"
"111","Cisterciens","1188","1791"
"112","Cisterciennes","1206","1790"
"113","Cisterciens","1133","1791"
"114","Cisterciennes","1184","1432"
"114","Cisterciens","1432","1791"
"115","Cisterciens","1167","1791"
"116","Cisterciens","1191","1791"
"117","Cisterciens","1162","1791"
"118","Cisterciens","1119","1791"
"119","Cisterciens","1142","1791"
"120","Cisterciens","1036","1791"
"121","Cisterciens","1138","1791"
"122","Cisterciens","1131","1791"
"123","Cisterciens","1147","1791"
"124","Cisterciens","1140","1791"
"125","Cisterciens","1098","1797"
"125","Trappistes","1898","-"
"126","Cisterciens","1132","1791"
"127","Cisterciennes","1204","1791"
"128","Cisterciens","1151","1791"
"129","Cisterciens","1140","1791 ?"
"130","Cisterciens","1132","1794"
"131","Cisterciens","1115","1791"
"132","Cisterciens","1150","1790"
"133","Cisterciens","1239","1790"
"134","Cisterciennes","1259","1764"
"135","Cisterciens","1142","1792"
"136","Cisterciens","1146","1791"
"137","Cisterciens","1150","1609"
"138","Trappistines","1818","-"
"139","Cisterciens","1119","1791"
"140","Cisterciens","1121","1791"
"141","Bénédictins","879","1793"
"141","Cisterciens","1919","1965"
"141","Bénédictins","1965","-"
"142","Cisterciens","1162","1791"
"143","Trappistes","1852","-"
"144","Cisterciens","1132","1209"
"144","Bénédictins","1209","?"
"144","Prémontrés","?","1791"
"144","Trappistes","1869","1932"
"145","Trappistes","1863","2001"
"145","Chemin Neuf","2001","-"
"146","Cisterciennes","1128","1450"
"146","Cisterciens","1450","1790"
"147","Cisterciennes","1226","1792"
"148","Cisterciens","1131","1791"
"149","Cisterciens","1868","1911"
"149","Trappistines","1923","-"
"150","Cisterciennes","1150","1664"
"151","Cisterciens","1144","1791"
"152","Cisterciens","1148","1791"
"153","Cisterciennes","1178","1745"
"154","Cisterciens","1229","1790"
"155","Cisterciens","1137","1790"
"156","Cisterciens","1145","1684"
"157","Cisterciennes","1146","?"
"158","Cisterciens","1145","1791"
"159","Cisterciennes","1150","1791"
"160","Cisterciens","1137","1790"
"161","Cisterciens","1173","1791"
"162","Cisterciens","1113","1791"
"163","Cisterciennes","1140","1790"
"164","Cisterciens","1169","1577"
"164","Feuillants","1577","1791"
"165","Cisterciens","1151","1791"
"166","Cisterciennes","1234","1790"
"167","Cisterciens","1121","1794"
"168","Cisterciens","1204","1791"
"169","Cisterciennes","1198","1789"
"170","Cisterciens","1124","1791"
"171","Cisterciens","1147","1791"
"172","Cisterciens","1119","1791"
"173","Cisterciennes","1212","?"
"174","Cisterciens","1146","1791"
"175","Cisterciens","1147","1791"
"176","Cisterciens","1149","1791"
"177","Cisterciens","1147","1791"
"178","Cisterciens","1147","1791"
"179","Cisterciens","1470","1790"
"180","Cisterciens","1151","1790"
"181","Cisterciens","1141","1791"
"182","Cisterciens","1137","1790"
"183","Cisterciens","1150","1790"
"184","Augustins","1139","1791 ?"
"184","Trappistines","1818","-"
"185","Cisterciennes","1205","1426"
"186","Cisterciennes","1207","1792"
"187","Cisterciens","1123","1791"
"188","Cisterciens","1147","1790"
"189","Cisterciens","1261","1650"
"190","Cisterciens","1139","1790"
"190","Cisterciens","1844","1909"
"190","Cisterciens","1927","2008"
"191","Cisterciens","1135","1790"
"192","Cisterciennes","?","?"
"193","?","1114","1145"
"193","Cisterciens","1145","1791"
"194","Bernardines réformées","1624","1792"
"195","?","1166","1791"
"195","Cisterciens","1166","1791"
"196","Cisterciens","1125","1792"
"196","Cisterciens","1826","1922"
"196","Bénédictins","1922","1992"
"196","Chemin Neuf","1992","-"
"197","Cisterciens","1136","1791"
"198","Cisterciens","1140","1791"
"199","Cisterciens","1128","1790"
"199","Trappistes","1876","1918"
"199","Trappistines","1929","-"
"200","Cisterciens","1233","1632"
"201","Trappistines","1981","-"
"202","Cisterciens","1162","1791 ?"
"203","Cisterciennes","1250","1790"
"204","Cisterciennes","1231","1751"
"205","Cisterciennes","1231","?"
"205","Cisterciens","?","1790"
"206","Cisterciens","1114","1791"
"207","Cisterciennes","1652","1668"
"207","Cisterciennes","1668","1792"
"208","Cisterciennes","1140","1790"
"209","Cisterciens","1128","1790"
"210","Cisterciens","1115","1791"
"211","Cisterciens","1136","1790"
"212","Cisterciens","1147","1791"
"213","Cisterciens","1138","1791"
"214","Cisterciens","1140","1791"
"215","Cisterciennes","1272","1791 ?"
"216","Cisterciens","1137","1790"
"217","Bénédictins","410","1788"
"217","Cisterciens","1868","-"
"218","Cisterciennes","1220","?"
"219","Cisterciens","1134","1791"
"220","Cisterciennes","1180","1636"
"220","Cisterciennes","1636","1790 ?"
"221","Cisterciens","1191","1791"
"222","?","1150","?"
"222","Cisterciennes","?","1538"
"223","Cisterciennes","1218","1791"
"224","Cisterciens","1151","1791"
"225","Cisterciens","1124","1791"
"226","Cisterciens","1132","1791"
"227","Bénédictins","1102","1150"
"227","Cisterciens","1150","1791"
"228","Cisterciennes","1135","1791 ?"
"229","Cisterciens","1149","1791"
"230","Cisterciens","1129","1791"
"231","Cisterciens","1121","1791"
"232","Cisterciens","1124","1792"
"233","Cisterciennes","1244","1791"
"234","Cisterciens","1132","1790"
"235","Cisterciennes","1634","1791"
"236","Cisterciennes","1239","1460"
"236","Cisterciens","1460","1791"
"237","Cisterciennes","1226","1778 ?"
"238","Trappistines","1834","1991"
"239","Trappistines","1236","1791"
"240","Cisterciens","1120","1790"
"241","Cisterciennes","1206","1611"
"241","Cisterciens[note 3]","1611","1790"
"242","Cisterciens","1145","1790"
"242","Trappistes","1817","2016"
"242","Chemin Neuf","2016","-"
"243","Cisterciens","1151","1791"
"244","Cisterciennes","1200","1792"
"245","Bénédictins","508","1608"
"245","Feuillants","1608","1790"
"245","Carmélites","1939","-"
"246","Cisterciens","1131","1791"
"247","Cisterciennes","1142","1790"
"248","Cisterciennes","1208","1790"
"249","Cisterciennes","1239","?"
"250","Cisterciennes","1209","1789"
"251","Cisterciennes","1242","1622"
"251","Bernardines réformées","1622","1791"
"252","Cisterciens","1155","1791"
"253","Antonins","1650","1792"
"253","Trappistes","1826","-"
"254","Cisterciens","1199","1790"
"255","Cisterciennes","1242","1791"
"256","Cisterciens","1126","1791"
"257","Cisterciennes","1136","1792"
"258","Cisterciens","1109","1791"
"259","Cisterciens","1109","1791"
"260","Cisterciens","1115","1791"
"261","Cisterciens","1109","1791"
"262","Trappistes","1850","-"
"263","Cisterciennes","1240","1490"
"264","Cisterciens","1128","1790"
"265","Cisterciens","1144","1790"
"266","Cisterciens","1136","1790"
"267","Cisterciennes","1146","1790"
"267","Chartreuses","1927","-"
"268","Augustins","1045","1626"
"268","Jésuites","1626","1790"
"268","Trappistes","1824"," -"
"269","Cisterciennes","1204","1614"
"270","Cisterciens","1145","1791"
"271","Cisterciennes","1197","?"
"272","Cisterciennes","1147","?"
"273","Cisterciens","1129","1791"
"274","Cisterciens","1139","1792"
"275","Trappistines","1970","-"
"276","Cisterciens","1162","1791"
"277","Cisterciennes","1217","1671"
"277","Cisterciennes","1671","1790"
"278","Cisterciennes","1218","1648 / 1790"
"279","Cisterciennes","1205","1790"
"280","Cisterciens","1150","14.."
"281","Bénédictins","1180","1247"
"281","Cisterciennes","1247","1790"
"282","Cisterciens","1145","1791"
"283","Bernardines","1965","2015"
"284","Cisterciens","1153","1793"
"285","Cisterciens","1135","1791"
"286","Bénédictins","1120","1141"
"286","Cisterciens","1141","1792"
"287","Cisterciens","1440","1791"
"288","Bernardines","1948","-"
"289","Cisterciens","1143","1791"
"290","Cisterciennes","1226","1790"
"291","Cisterciens","1151","1791"
"292","Cisterciens","1323","1740"
"293","Cisterciens","1114","1791"
"294","Cisterciens","1134","1791"
"295","Cisterciennes","1204","1709"
"296","Cisterciennes","1625","1790"
"297","Cisterciens","1233","1791"
"297","Trappistes","1815","-"
"298","Cisterciens","1162","1790"
"299","Cisterciens","1145","1790"
"299","Petits frères des Pauvres","1954","-"
"300","Cisterciennes","1217","1790"
"301","Cisterciennes","1221","1790"
"302","Cisterciens","1118","1791"
"303","Cisterciens","1252","1791"
"304","Cisterciennes","1225","1648"
"304","Cisterciennes","1399","1751"
"305","Cisterciens","1133","1790"
"306","Cisterciennes","1191","1792"
"307","Cisterciens","1150","1574"
"307","Oratoriens","1626","1793"
"308","Cisterciens","1142","1791"
"309","Cisterciennes","1235","1792"
"310","Cisterciens","1128","1790"
"311","Cisterciens","1128","1790"
"312","Cisterciennes","1162","1761"
"312","Cisterciennes","1998","-"
"313","bénédictins","IXe siècle","1189"
"313","Cisterciens","1189","1791"
"313","Trappistines","1938","-"
"314","Cisterciens","1137","1791"
"315","Cisterciens","1574","1791"
"316","Cisterciens","1132","1791"
"317","Cisterciennes","1241","?"
"318","Cisterciens","1229","1790"
"319","Cisterciennes","1227","?"
"320","Cisterciennes","1349","1600"
"320","Cisterciennes","1600","1790"
"321","Cisterciens","1175","1596"
"322","Cisterciennes","?","?"
"323","Cisterciennes","1349","1750"
"324","Cisterciennes","1167","?"
"325","Cisterciens","1130","1791"
"326","Cisterciens","1135","1608"
"327","Cisterciennes","1167","?"
"328","Bénédictines","1234","1435"
"328","Cisterciennes","1435","?"
"329","Bénédictines","1225","1791"
"329","Cisterciennes","1225","1791"
"330","Cisterciennes","1353","1574"
"331","Cisterciennes","1200","1792"
"332","Cisterciens","1127","1569"
"333","Cisterciennes","1239","1790 ?"
"334","Cisterciens","1147","1791 ?"
"335","Cisterciens","1168","1791"
"336","Cisterciens","1148","1791"
"336","Cisterciens","1926","-"
"337","Cisterciens","1132","1791"
"337","Trappistes","1845","-"
"338","Cisterciens","1135","1791"
"339","Cisterciens","1144","1790"
"340","Cisterciens","1135","1791"
"341","Cisterciens","1136","1789"
"341","Dominicains","1970","-"
"342","Cisterciens","1173","1321"
"343","Cisterciens","1133","1793"
"343","Trappistes","1860","1880"
"343","Trappistes","1881","-"
"344","Cisterciennes","1200","1623"
"344","Cisterciennes","1623","1789"
"345","Cisterciens","1131","1790 ?"
"346","Cisterciens","1160","1791"
"347","Trappistes","1841","-"
"349","Cisterciens","1160","1791"
"350","Cisterciens","1841","-"
"351","Cisterciennes","1228","?"
"352","Cisterciens","1137","1790"
"353","Cisterciens","1118","1790"
"354","Cisterciens","1149","1790"
"355","Cisterciennes","1841","2012"
"356","Cisterciens","1173","1270"
"357","Cisterciennes","1820","1834"
"357","Cisterciennes","1837","1905"
"358","Cisterciens","1125","1790"
"359","Cisterciennes","1134","1635"
"360","Valliscauliens","1184","1761"
"360","Cisterciens","1761","1790"
"361","Valliscauliens","1146","1155"
"361","Cisterciens","1155","1791"
"362","Cisterciennes","1252","?"
"363","Cisterciens","1156","1791"
"364","Cisterciens","1184","1791"
"365","Cisterciens","1242","1734"
"366","Cisterciens","1188","1791"
"367","Cisterciens","1230","1791"
"368","Cisterciens","1147","1791"
"369","Cisterciens","1138","1791"
"370","Cisterciens","1159","1789"
"371","Cisterciens","1150","1790"
"372","Cisterciens","1180","1425"
"372","Cisterciens","1660","1792"
"373","Cisterciennes","1217","1375"
"373","Cisterciennes","1375","?"
"374","Cisterciens","1148","1791"
"375","Cisterciennes","1150","1792"
"376","Cisterciens","1131","1790"
"377","Cisterciens","1134","1790"
"378","Cisterciens","1129","1790"
"379","Savigniens","1118","1147"
"379","Cisterciens","1147","1791"
"380","Cisterciens","1133","1791"
"381","Cisterciens","1168","1791"
"382","Cisterciennes","1228","1789"
"383","Cisterciennes","1167 ?","1790"
"384","Cisterciennes","1360","1791"
"385","Cisterciens","1147","1791"
"386","Bénédictines","1130","1245"
"386","Cisterciennes","1245","1791"
"387","Cisterciens","1150","1791"
"388","Cisterciens","1201","1791"
"389","Cisterciens","1201","1791"
"390","Savigniennes","1127","1147"
"390","Cisterciennes","1147","1792"
"391","Dominicains","1216","1220"
"391","Cisterciennes","1220","1790"
"392","Cisterciennes","1216","1220"
"392","Cisterciennes","1220","1791"
"393","Cisterciennes","1235","1792"
"394","Cisterciennes","1214","1778"
"395","Cisterciennes","1220","1652"
"395","Cisterciennes","1652","1790"
"396","Cisterciennes","1214","1778"
"397","Cisterciens","1128","1790"
